HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupNumber,GroupSize,Deck,Side
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,0001,1,B,P
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,0002,1,F,S
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0003,2,A,S
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0003,2,A,S
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,0004,1,F,S
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,0005,1,F,P
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,0006,2,F,S
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,True,0006,2,G,S
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,0007,1,F,S
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,0008,3,B,P
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,True,0008,3,B,P
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,0008,3,B,P
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,0009,1,F,P
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,0010,1,G,S
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,0011,1,F,P
Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,0012,1,,
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,False,0014,1,F,P
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,0015,1,F,P
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0016,1,F,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0017,2,G,P
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,0017,2,F,P
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
Earth,True,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,False,0020,6,E,S
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,0020,6,E,S
Earth,True,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,False,0020,6,E,S
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,0022,1,D,P
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,True,0024,1,C,S
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,0025,1,F,S
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,0026,1,C,P
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,0028,1,F,P
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,0030,1,G,S
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,0031,3,F,P
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0031,3,F,P
Mars,False,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,True,0031,3,F,P
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0034,1,D,S
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,0035,1,D,P
Earth,False,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,False,0036,1,F,S
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,0038,1,F,S
Earth,True,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,False,0039,1,G,P
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,0041,1,G,P
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,0043,1,B,P
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,0044,3,G,P
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,0044,3,G,P
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,0044,3,G,P
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,0045,2,F,P
Mars,True,,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0045,2,F,P
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,False,0050,1,E,S
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,0051,1,E,S
Earth,False,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,False,0052,1,G,S
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,0053,1,F,S
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0056,3,A,S
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,0056,3,A,S
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,0056,3,A,S
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,0058,1,G,S
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,0061,1,F,S
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,0062,1,F,S
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,0064,2,F,S
,True,TRAPPIST-1e,33.0,False,0.0,0.0,,0.0,0.0,True,0064,2,E,S
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,0066,1,G,P
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0067,3,G,S
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,0067,3,G,S
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,0067,3,F,S
Mars,False,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,False,0068,1,E,S
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,0069,1,F,S
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,0070,1,F,P
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,0071,1,F,P
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,0072,1,F,S
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,0073,1,D,P
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,0074,1,C,S
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,0076,1,F,S
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,0077,1,F,P
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,0078,1,C,S
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,0081,1,G,S
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,0082,3,F,P
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0082,3,F,P
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,0082,3,F,P
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,0084,1,G,S
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,0085,1,C,S
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,0086,1,F,P
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0088,1,E,S
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,0090,1,G,S
Earth,True,TRAPPIST-1e,26.0,False,,0.0,0.0,0.0,0.0,True,0091,2,G,S
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,0091,2,F,S
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,0092,3,G,P
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,,0.0,0.0,True,0092,3,G,P
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,0092,3,G,P
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,0097,1,A,S
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,0098,2,G,P
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,0098,2,G,P
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,0099,2,F,P
Earth,,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0099,2,G,P
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,0101,1,,
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,0102,1,F,S
